PORT_ID,CST_TYPE
B6_6330_A01_P01,A
B6_6330_A01_P02,A
B6_6330_A02_P01,A
B6_6330_A02_P02,A
B6_6330_A03_P01,A
B6_6330_A03_P02,A
B6_2195_A01_P01,A
B6_2195_A01_P02,A
B6_2195_A01_P03,B
B6_2195_A01_P04,B
B6_2195_A02_P01,A
B6_2195_A02_P02,A
B6_2195_A02_P03,B
B6_2195_A02_P04,B
B6_2195_A03_P01,A
B6_2195_A03_P02,A
B6_2195_A03_P03,B
B6_2195_A03_P04,B
B6_2195_A04_P01,A
B6_2195_A04_P02,A
B6_2195_A04_P03,B
B6_2195_A04_P04,B
B6_2290_A01_P01,B
B6_2290_A01_P02,B
B6_2290_A02_P01,B
B6_2290_A02_P02,B
B6_2290_A03_P01,B
B6_2290_A03_P02,B
B6_2290_A04_P01,B
B6_2290_A04_P02,B
B6_2290_A05_P01,B
B6_2290_A05_P02,B
B6_2290_A06_P01,B
B6_2290_A06_P02,B
B6_2165_A01_P01,B
B6_2165_A02_P01,B
B6_2165_A03_P01,B
B6_2165_A04_P01,B
B6_2165_A05_P01,B
B6_2165_A06_P01,B
B6_2165_A07_P01,B
B6_2165_A08_P01,B
B6_2490_A01_P01,B
B6_2100_A01_P01,A
B6_2100_A01_P02,A
B6_2100_A01_P03,A
